time	V(x)	V(z)	-V(yn)
1.899605167636078e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636098e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636109e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636120e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636131e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636153e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636198e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636287e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636466e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167636823e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167637538e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167638967e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167641826e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167647543e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167658977e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167681845e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167727582e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167819055e+00	4.193908e-02	2.619102e+00	5.232575e-01
1.899605168002001e+00	4.193909e-02	2.619102e+00	5.232575e-01
1.899605168367895e+00	4.193910e-02	2.619102e+00	5.232575e-01
1.899605169099681e+00	4.193914e-02	2.619102e+00	5.232575e-01
1.899605170563253e+00	4.193921e-02	2.619102e+00	5.232575e-01
1.899605173490398e+00	4.193935e-02	2.619102e+00	5.232575e-01
1.899605179344687e+00	4.193963e-02	2.619101e+00	5.232575e-01
1.899605191053265e+00	4.194019e-02	2.619100e+00	5.232575e-01
1.899605214470421e+00	4.194132e-02	2.619098e+00	5.232575e-01
1.899605261304734e+00	4.194358e-02	2.619095e+00	5.232574e-01
1.899605354973359e+00	4.194808e-02	2.619088e+00	5.232574e-01
1.899605542310609e+00	4.195710e-02	2.619075e+00	5.232573e-01
1.899605916985110e+00	4.197513e-02	2.619048e+00	5.232570e-01
1.899606666334111e+00	4.201120e-02	2.618994e+00	5.232564e-01
1.899608165032113e+00	4.208332e-02	2.618885e+00	5.232552e-01
1.899611162428117e+00	4.222752e-02	2.618668e+00	5.232529e-01
1.899617157220126e+00	4.251580e-02	2.618234e+00	5.232484e-01
1.899629146804144e+00	4.309182e-02	2.617367e+00	5.232394e-01
1.899653125972180e+00	4.424177e-02	2.615635e+00	5.232221e-01
1.899701084308251e+00	4.653331e-02	2.612178e+00	5.231897e-01
1.899797000980394e+00	5.108313e-02	2.605294e+00	5.231338e-01
1.899988834324680e+00	6.005188e-02	2.591646e+00	5.230600e-01
1.900372501013252e+00	7.748190e-02	2.564820e+00	5.230783e-01
1.901139834390396e+00	1.104399e-01	2.512977e+00	5.238738e-01
1.902139834390395e+00	1.499473e-01	2.448865e+00	5.266637e-01
1.903139834390395e+00	1.860652e-01	2.388450e+00	5.317106e-01
1.904139834390395e+00	2.193426e-01	2.331550e+00	5.392483e-01
1.904264834390395e+00	2.233062e-01	2.324705e+00	5.403939e-01
1.904268740640395e+00	2.234301e-01	2.324491e+00	5.404298e-01
1.904276553140395e+00	2.236777e-01	2.324063e+00	5.405015e-01
1.904278506265395e+00	2.237395e-01	2.323956e+00	5.405195e-01
1.904282412515395e+00	2.238632e-01	2.323742e+00	5.405555e-01
1.904283389077895e+00	2.238942e-01	2.323689e+00	5.405645e-01
1.904285342202895e+00	2.239560e-01	2.323582e+00	5.405825e-01
